idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp;no_voie;type_voie;voie;commune
000001;16/01/2025;370000.00;Appartement;52;93100;3;25;RUE;DES DEUX COMMUNES;MONTREUIL
000001;10/01/2025;145000.00;Appartement;33;93400;2;42;RUE;DU LANDY;SAINT-OUEN-SUR-SEINE
000001;10/01/2025;112000.00;Appartement;33;93300;2;6;RUE;BISSON;AUBERVILLIERS
000001;15/01/2025;395000.00;Appartement;128;93230;3;18;RUE;DES MARES;ROMAINVILLE
000001;15/01/2025;215000.00;Appartement;53;93100;2;13;RUE;DES ORMES;MONTREUIL
000001;10/01/2025;177300.00;Appartement;64;93360;4;1;RUE;DU BEL AIR;NEUILLY-PLAISANCE
000001;08/01/2025;302000.00;Appartement;64;93200;3;6;RUE;GASTON PHILIPPE;SAINT-DENIS
000001;10/01/2025;160000.00;Appartement;41;93160;2;17;BD;SOUCHET;NOISY-LE-GRAND
000001;10/01/2025;420000.00;Appartement;56;93500;2;23;RUE;BOIELDIEU;PANTIN
000001;16/01/2025;255000.00;Maison;78;93190;5;56;BD;JEAN MOULIN;LIVRY-GARGAN
000001;06/01/2025;80000.00;Appartement;27;93300;2;28;RUE;DU PORT;AUBERVILLIERS
000001;15/01/2025;200000.00;Appartement;35;93100;2;85;RUE;DE LA SOLIDARITE;MONTREUIL
000001;07/01/2025;162000.00;Appartement;33;93600;1;5;AV;DE LA REPUBLIQUE;AULNAY SOUS BOIS
000001;07/01/2025;407200.00;Appartement;77;93200;4;3;RUE;JAMES WATT;SAINT-DENIS
000001;03/01/2025;135000.00;Appartement;32;93300;1;11;RUE;LOUIS FOURRIER;AUBERVILLIERS
000001;09/01/2025;510000.00;Appartement;59;93200;3;31;BD;ORNANO;SAINT-DENIS
000001;07/01/2025;145000.00;Appartement;28;93300;2;33;RUE;AUVRY;AUBERVILLIERS
000001;08/01/2025;495000.00;Maison;50;93500;2;29;RUE;BOIELDIEU;PANTIN
000001;17/01/2025;200000.00;Appartement;51;93600;3;7;RUE;DES ECOLES;AULNAY SOUS BOIS
000001;15/01/2025;230000.00;Maison;87;93290;5;57;AV;PABLO NERUDA;TREMBLAY-EN-FRANCE
000001;16/01/2025;160000.00;Appartement;38;93230;2;43;AV;LENINE;ROMAINVILLE
000001;16/01/2025;110000.00;Appartement;23;93220;1;11;RUE;GUILLEMETEAU;GAGNY
